comments_disabled,id,shortcode,taken_at_timestamp,display_url,is_video,caption,comment_count,liked_count,preview_liked_count,owner_id,post_height,post_width,location_name,lat,long,h3,accessibility_caption,video_view_count
False,2753251424917158515,CY1g5Vnhnpz,1642433168,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/272094282_998999177355841_1854096066672583205_n.webp.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=sq7ZYPiwCygAX92ii7i&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT9MfQdtZRvnATV6JlYlSLl6cDWCUI3zvy0xbfakP0b3PQ&oe=61FF7B06&_nc_sid=b2a057,False,"Misiiii...
 Dilan dan Milea mau lewat 

🏍️🏍️
🤪🤪🤪

#dilanmilea #andriberline #husbandandwife",4,39,39,203115195,1080,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2751105069933356387,CYt43wxJ2Vj,1642177367,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/271889081_321579536518403_5941673152318206761_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=WeHjh9tGa_AAX-l40GH&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT_7xI-_oQ08xny8jUhtd3Nw7CUvxjfieXF6sp_sLQCGxQ&oe=61FB7CD0&_nc_sid=b2a057,True,"Maaf jika caraku salah dalam menegurmu,
Tapi percayalah aku mempunyai alasan untuk itu !

#dilanseries 

@iqbaal.e @vaneshaass @falconpictures_",4,28,28,6388208915,854,480,Dilan 1990,-6.91278,107.606,878c1479effffff,,369.0
False,2749395346155931002,CYn0IAavIV6,1641973487,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/271607139_4583633248425081_2633550030500289757_n.webp.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=gP2OZp_xdpwAX_ImfV5&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT8CUWoI0K2ggGo6Cax6XNeDx847zakSoMkOSN2WTAGNuQ&oe=6200A47A&_nc_sid=b2a057,False,,0,3,3,47155763323,1080,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2749275577777504144,CYnY5JbFb-Q,1641959355,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/271628325_963730404245156_3034520559123888023_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=h6_whDN3yNsAX9_du1t&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT_wTQ4s2MnozgdgTQpqfqlzekUXc4F0-iSMXT7pZwE9bw&oe=61FB3F26&_nc_sid=b2a057,True,"Casting ""DilanSeries"" Part 3
Nama : Kholbi Achsani
Tb : 174Cm
Bb : 55Kg
Usia : 23Th
Asal Kota : Jakarta 
#dilanseries #dilan1990 #dilanmilea #dilan1991 #dilan #dilanku #milea #mileadilan  #castingfilm #castingindonesia #castingfilmindonesia #falconpictures",11,85,85,38050374409,854,480,Dilan 1990,-6.91278,107.606,878c1479effffff,,851.0
False,2748060436831613979,CYjEmhOpzQb,1641814354,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/271514868_647346059858848_1854341724797186568_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=JSRJvYIVUZYAX9wMNJv&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT_xBIUkUbUIDAPLdEFv7_B6aYOLh43MJ9hj2ITRTm6TpA&oe=61FF4C2A&_nc_sid=b2a057,False,"Aku ramal kita akan ketemu dikantin 
#dilan1990",7,143,143,9023486162,1350,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2746227029862389350,CYcju77hhZm,1641595794,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/271451409_936118553685712_5784207938079593590_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=jLG5p4xlvPoAX8vYhO6&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT8tQvuAS5HKhjH8eHk6Muz3k6PbynLx4FES0J3tYC7LOQ&oe=6200E298&_nc_sid=b2a057,False,,4,311,311,1666639410,1350,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2745733390439624969,CYazfiZFTEJ,1641537033,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/271504371_960139001582054_4097871784523304267_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=t1y4BrlGWYQAX_XOpgh&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT8CWUTXSvjy38303Kt2rGIuiKkdYQ6J9KFdVFGnBafsCw&oe=61FB70FE&_nc_sid=b2a057,True,"Casting ""DilanSeries"" Part 1 
Nama : Kholbi Achsani
Tb : 174Cm
Bb : 55Kg
Usia : 23Th
Asal Kota : Jakarta 
#dilanseries #dilan1990 #dilanmilea #dilan1991 #dilan #dilanku #milea #mileadilan #likes4like #likelike #likeforlikes #lfl #lff #fff #liketolike #castingfilm #castingindonesia #castingfilmindonesia #layarlebar",28,48,48,38050374409,746,480,Dilan 1990,-6.91278,107.606,878c1479effffff,,1797.0
False,2743843834923165007,CYUF24rvaVP,1641311695,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/271209363_962599768023885_7319211493879807751_n.webp.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=O44pv1uVkcIAX8POIr8&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT8_3UxaWMbOmKe1Zp8kdiaUkErHcsTInDEfBnPYegCFfg&oe=62002F99&_nc_sid=b2a057,False,"New year. New profile photo. New role model.

Mohon izin dek @iqbaal.e 🙏",21,64,64,1286318908,1350,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2743013216782230961,CYRI_zQgaWx,1641212692,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/271179602_958899374738596_7457820426056195126_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=WmDqWLW4668AX-VPlA3&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT9_pf-fxXzqfcxIeTeYQsG1oapscA2XH6p4fxufwiDzng&oe=61FB93B9&_nc_sid=b2a057,True,"Canduuu suara kita putus🗿

#dilan1990 #dilan1991 #dilanmilea #mileadilan #dilan #milea #film #indonesia #indopride #drama #timnasindonesia #garudaindonesia #pratamaarhan #elkanbaggott #bigetronesports #btrwin #evos #evosroar #teamrrq #mobilelegends #pubgmobileindonesia #freefire #fypシ #fyp #masukberanda",8,80,80,44304803364,800,640,Dilan 1990,-6.91278,107.606,878c1479effffff,,1236.0
False,2742951299980212730,CYQ66yvhDn6,1641205384,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/271309906_3088507318090544_1828729260041555389_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=OxppTPc0agUAX89r2eC&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT_nMYjV_aiJkP_VHSz2lyoMzQ5H4ztpzL6qDqEPARIR2g&oe=61FB9D6B&_nc_sid=b2a057,True,"Siapa yang kangen Dilan 1990?💘 mari nostalgia 히ㅔㅎ헤ㅔㅎ헤 Me as Milea  @falconpictures_ #DILANSERIES 
-
NO CUT, NO EDIT, NO FILTER YA cuma teks aja hehe❤️",0,97,97,2105861099,1137,640,Dilan 1990,-6.91278,107.606,878c1479effffff,,2691.0
False,2742896136309296137,CYQuYDkgcwJ,1641198790,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/271211784_282301407296993_8499231354059895225_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=d88Wa7-qv9YAX_3Jngc&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT_Bnz4h-v_Vb-vQDbVQ-2TyQhRg6WcFklT3CSwTFXLiFg&oe=61FB30BF&_nc_sid=b2a057,True,"Jangan salah paham ketika berpacaran 🗿

#dilan1990 #dilan1991 #dilan #dilanmilea #mileadilan #milea #film #sinetron #bioskop #indopride #indonesia #timnasindonesia #bigetronesports #btrwin #evos #rrq #pratamaarhan #elkanbaggott #egymaulanavikri #asia #asiatenggara #pubgmobileindonesia #mobilelegends #freefire #fypシ #fyp #masukberanda",0,104,104,44304803364,800,640,Dilan 1990,-6.91278,107.606,878c1479effffff,,1115.0
False,2742881817117981767,CYQrHryMfxH,1641197023,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/271216498_1294695694367041_5132990766811043728_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=C9rQSA1KFYkAX_ZNxwG&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT9TPPJVF1mKP_H6uhDJ6K_z5C_5m1ywBDDhJokTt2Ncxw&oe=61FB69B8&_nc_sid=b2a057,True,"Kalau ada masalah selesaikan lah🙃

#dilan1990 #dilan1991 #dilanmilea #milea #mileadilan #pacaran #pacar #sad #sadmoment #bioskop #indopride #indonesia #timnasindonesia #pratamaarhan #bigetronesports #bigetron #btrwin #evos #rrq #pubgmobileindonesia #mlbb #ff #jatuhcinta #asia #asiatenggara #fypシ #fyp #masukberanda",0,123,123,44304803364,800,640,Dilan 1990,-6.91278,107.606,878c1479effffff,,1144.0
False,2742879350428604771,CYQqjygDRlj,1641196729,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/271261860_643943196748955_7988992041912343432_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=KRPhvPkenS0AX_nxdyu&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT9Tc0wtdlapGnWa9-SP19J7P5hgOLvKz-SS5KLWma5KUg&oe=61FB8EF0&_nc_sid=b2a057,True,"Melupakanmu memang hal yang sulit ☹️

#film #bioskop #sadboy #dilan1990 #dilan #dilan1991 #dilanmilea #milea #indonesia #indopride #btrwin #bigetronesports #bigetron #evos #rrq #aura #timnasindonesia #pubgmobileindonesia #mlbb #ff #pratamaarhan #asia #asiatenggara #fypシ #fyp #masukberanda",1,416,416,44304803364,800,640,Dilan 1990,-6.91278,107.606,878c1479effffff,,7559.0
False,2739378069469917825,CYEOdcgP_KB,1640779335,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/270337246_453740832911109_4412813036015965860_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=QQ3xQKCHyhAAX8QpyVv&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT-qANvBKSOU5508LO5c4fxs-F2ZZuQ1PKRtP5YfCN8zPA&oe=61FF2B34&_nc_sid=b2a057,False,"Berkelana menuju bandung bersama @fannyamillina! Mampir dulu ke purwakarta dan makan di hutan jati sambil main ayunan huhuhu lucu banget makannya sambil goyang goyang. Pas di bandung bertamu ke rumah hobbit dan menyatu dengan bunga bunga, namun tidak lupa menjadi tukang pijit sejenak. Lalu terbang ke korea dan melihat surat cinta di jepang.",10,142,142,17383328254,1080,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2736439888063661079,CX5yZR1PoQX,1640429076,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/269896677_113123391230809_8748215343751888973_n.webp.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=9aXYJsIO394AX_6OXkM&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT-emoSAFjqppk9Tyd0yEjE_W8nWQS7bH7RL2P1saZXfVA&oe=61FFC35D&_nc_sid=b2a057,False,Dilan 2002😅,7,89,89,6040448561,1080,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2732929710351145233,CXtUReFl1kR,1640010630,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/269422555_130338392749129_4619685312696747051_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=6J6mESwFGd8AX-ldjXz&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT-v8pC9l2U_p-QXCHMZHePVxYVnC6JnKFFE1NSV-yB7bA&oe=6200BB87&_nc_sid=b2a057,False,Bad quality.... Jng d geser 😜,0,29,29,2296549744,750,750,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2730043616027642608,CXjEDRSporw,1639666581,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/268543220_520596212264139_1405919643390110942_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Y3CsHIaGlawAX-jhWLK&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT_LvAiWFCw_QWxkbXBnW6IEPAbgFVUNoyhR4R6Y7gscsw&oe=61FFE26B&_nc_sid=b2a057,False,"Punten atuh, aku lagi nungguin Mas Dilan 🤪",1,137,137,2288296403,1080,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2729173514036549048,CXf-NnqjZW4,1639562881,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/267177196_334419804840283_1115814908974154989_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=fzvT9K3MYGsAX-A-l9v&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT-jL3hR-jCJp1OOUH39yt3UsYdTrOiZh5YH34g0pmEZEQ&oe=61FB2C5D&_nc_sid=b2a057,True,"Anak Tentara

___________________________________________

Yang mau foto & vidionya kami repost ? silahkan follow @kopasus_komando
 tag Dan DM Kami ✉️

Follow @kopassus_komando
Follow @pejuangkomando68 ______________________________________________

Semoga yang like postingan ini tercapai cita-citanya, Aminnn
___________________________________________
•
•
•
#kopasuskomando#TNIad #komando#abdinegara#kopassusgrup2#nkri#military#pedangporaabdinegara #tniau#tnial #tugasnegara",7,552,552,3137423224,1137,640,Dilan 1990,-6.91278,107.606,878c1479effffff,,3155.0
False,2726386537288956448,CXWEhxTg_og,1639230871,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/266457649_419499143182043_6313662934095248809_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Gs2zkZ_tUIIAX92xvZZ&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT-HwZiCsMo9wadtR4rTivHLiB_wPhwTUCXh7xNz00nbiw&oe=61FBA41F&_nc_sid=b2a057,True,"Vibesnya dilan banget😍

#alwiasegaf03 #habibalwiassegaf",14,379,379,48332863956,746,480,Dilan 1990,-6.91278,107.606,878c1479effffff,,2523.0
False,2722705094714184394,CXI_duuldLK,1638791761,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/263976835_1176809506183309_5330777883201681933_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=tVTcrayhZpUAX9Q6Jq-&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT-3E2Ce88CgeB21w3RsXiObsg6BuZ5sy-LhTl9I4n8gAw&oe=61FF232F&_nc_sid=b2a057,False,"Pegangan neng,aa handak jamping😎",2,56,56,36911496507,608,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2717711418991640018,CW3QCLzBP3S,1638196587,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/262253515_578942993208051_783700958374662707_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=-cx-0E1P5TgAX-Ix9fT&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT8XQtXo0M1JBjEzRSG9a8FyMcnNVVWWgkyc_RTgOjt_7g&oe=61FB28E0&_nc_sid=b2a057,True,#lasthcild#duka#coverchallenge,0,10,10,14664663022,746,480,Dilan 1990,-6.91278,107.606,878c1479effffff,,53.0
False,2714060077278281727,CWqR0K1Pb__,1637761195,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/260815656_6528122300563797_8151199361224460077_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=NoybItRMgZAAX8vVPc_&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT83Te2Z4nLL9fzB9iws0rKvAcvIHMrdr8w774gc2N5GxQ&oe=62000801&_nc_sid=b2a057,False,"kata dilan ""rindu itu berat""",8,130,130,46228125808,1276,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2711101817420032460,CWfxL0pPKnM,1637408543,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/258835503_4770082373048179_4978663780633624411_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=mzqTZST_HM4AX_fnEG1&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT-X2SK1LWvseGFOuYqwZMrEDhXr1ssFVxwYfR3sBuhLlg&oe=61FF7D9F&_nc_sid=b2a057,False,"...... kamu gak akan kuat, biar aku saja.",0,45,45,5153799232,1080,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2708322185344025218,CWV5K2ivYKC,1637077185,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/257964421_3106029833014632_4524183031192462351_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=eOgs1VquLhcAX9sXj_h&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT9ePUKVIUVwBJXFidfg7eMz7ewQLA5Jw7nz9VJHWzLpsQ&oe=61FF80C7&_nc_sid=b2a057,False,Turis sedang berkunjung ke rumah keluarga orang,2,96,96,1455183674,1080,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2707622554918333434,CWTaF47viv6,1636993782,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/256923926_1272877426547838_2533229257468635564_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=KwcsqYBVvKQAX_6qiyB&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT8wCXU6DVwkQCuiJPMR9rZ70LdCf6zhhGw0MYW3kZla8w&oe=6200741C&_nc_sid=b2a057,False,Kenang.,2,29,29,48054838724,1080,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2707169945674191951,CWRzLjuhhRP,1636939871,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/256444687_846310282718075_4095176350838404115_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=e3MpyLnRGGcAX_EVPq1&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT_5wXEkMPf-QYG9AsMjNB9kFcTI7EkvcKyCK1z-x8rYEQ&oe=61FB1630&_nc_sid=b2a057,True,"Dulu Kita Masih Remaja Usia Anak Sma

Bismillahirahmanirahim Smoga aja ramee aminnn🙏  YOUTUBE : WENDI OFFICIAL 02

#dilan1990
#dilanmilea
Voc guitar : @wendi_official_ 
Tag:
#indomusikgram #indomusikcover #indomusikgramcoversongcover 
#indomusic #indmusikgram #coversong #coverlaguindonesia #covering #musikindonesiakeren #musiccover #musisijogjaproject #trisuakachanel #musicvideos #musiksedih #cloudmusikgramcover #indomusikgram 
#indmusikgram #indoviralvidgram cover lagu, cover lagu barat, cover lagu malaysia, #cover lagu dangdut, cover lagu india, cover lagu sakit gigi, cover lagu rhoma irama, cover lagu lawas, cover lagu indonesia, cover lagu jawa

#coversong #rhomairamasong #rhomairama #ridorhoma #covergram #coverlagu #coverviral #cloudmusikgram #lagugalau #nolstagia #covering",1,23,23,17156641236,937,750,Dilan 1990,-6.91278,107.606,878c1479effffff,,698.0
False,2705194045399245062,CWKx6bMhiEG,1636704281,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/248312485_262894412422643_8934748875820432508_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=s5VLI6ELN0wAX_jT9NW&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT9HJPMmH8C_Qc4Mup26-2HX5ornCEw3eXPFDnG3oikjkA&oe=61FF763B&_nc_sid=b2a057,False,"Caption:

Hallo , sobat Libels! Perkenalkan saya Satria Adi Ismaya dari kelas XII IPS 3. Pada kesempatan kali ini , saya akan mereview Milea Suara Dari Dilan. Karya Pidi Baiq.

1. Pandangan pengarang : novel ini menggunakan sudut pandang orang pertama serba tahu pengarang menceritakan kisah percintaan antara DILAN dan MILEA yang diceritakan sangat menarik, pengarang sebagai contoh tokoh utama yaitu DILAN. Dalam novel ini terdapat nilai moral, sosial, budaya, religius dan pendidikan

Nah mengapa kalian harus membaca novel ini karna novel ini sangat cocok untuk kalangan anak muda yang masih yaaaa “kasmaran” hehe jadi ini adalah novel yg cocok dan seru untuk di baca untuk kaum milenial ini walaupun jadul.

Sekian dari saya, salam Literasi!✨

#Riviewbuku
#Libelsry
#Salamliterasi
#Gerakanliterasi
#SMAN15Bandung",2,11,11,44405875670,1350,1080,Dilan 1990,-6.91278,107.606,878c1479effffff,,
False,2700076786659945079,CV4mYgnJOp3,1636094283,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/253659974_918380635768787_449628776998179059_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=QQm8VD0m19kAX_ZRF7j&edm=ALLxIhEBAAAA&ccb=7-4&oh=00_AT_bBxsN_gWTGLDjX269THaTkH4mbnJccjlwgH290iudrQ&oe=61FB49FF&_nc_sid=b2a057,True,"Rindu itu berat tapi...

#daengdul #dilan1990 #dilan #makassarinfo #vanessaangel  #gowa #jeneponto #tiktok #tiktokindonesia #degelan #storybaper #storywa",17,75,75,2139822367,480,480,Dilan 1990,-6.91278,107.606,878c1479effffff,,1233.0
